OBJ: TObjArray	TObjArray	An array of objects : 0
 OBJ: TBranch	run	run/i : 0 at: 0x6059cb0
 OBJ: TBranch	luminosityBlock	luminosityBlock/i : 0 at: 0x6064aa0
 OBJ: TBranch	event	event/l : 0 at: 0x6066a80
 OBJ: TBranch	CaloMET_phi	phi : 0 at: 0x606aae0
 OBJ: TBranch	CaloMET_pt	pt : 0 at: 0x606ea10
 OBJ: TBranch	CaloMET_sumEt	scalar sum of Et : 0 at: 0x60709f0
 OBJ: TBranch	ChsMET_phi	raw chs PF MET phi : 0 at: 0x60729d0
 OBJ: TBranch	ChsMET_pt	raw chs PF MET pt : 0 at: 0x60749b0
 OBJ: TBranch	ChsMET_sumEt	raw chs PF scalar sum of Et : 0 at: 0x6076990
 OBJ: TBranch	nCorrT1METJet	Additional low-pt jets for Type-1 MET re-correction : 0 at: 0x60789a0
 OBJ: TBranch	CorrT1METJet_area	jet catchment area, for JECs : 0 at: 0x607a9d0
 OBJ: TBranch	CorrT1METJet_eta	eta : 0 at: 0x607dee0
 OBJ: TBranch	CorrT1METJet_muonSubtrFactor	1-(muon-subtracted raw pt)/(raw pt) : 0 at: 0x60813b0
 OBJ: TBranch	CorrT1METJet_phi	phi : 0 at: 0x60848d0
 OBJ: TBranch	CorrT1METJet_rawPt	pt()*jecFactor('Uncorrected') : 0 at: 0x6087da0
 OBJ: TBranch	nElectron	slimmedElectrons after basic selection (pt > 5 ) : 0 at: 0x608b2b0
 OBJ: TBranch	Electron_deltaEtaSC	delta eta (SC,ele) with sign : 0 at: 0x608d2e0
 OBJ: TBranch	Electron_dr03EcalRecHitSumEt	Non-PF Ecal isolation within a delta R cone of 0.3 with electron pt > 35 GeV : 0 at: 0x6090f40
 OBJ: TBranch	Electron_dr03HcalDepth1TowerSumEt	Non-PF Hcal isolation within a delta R cone of 0.3 with electron pt > 35 GeV : 0 at: 0x6094be0
 OBJ: TBranch	Electron_dr03TkSumPt	Non-PF track isolation within a delta R cone of 0.3 with electron pt > 35 GeV : 0 at: 0x60988a0
 OBJ: TBranch	Electron_dr03TkSumPtHEEP	Non-PF track isolation within a delta R cone of 0.3 with electron pt > 35 GeV used in HEEP ID : 0 at: 0x609c530
 OBJ: TBranch	Electron_dxy	dxy (with sign) wrt first PV, in cm : 0 at: 0x60a01e0
 OBJ: TBranch	Electron_dxyErr	dxy uncertainty, in cm : 0 at: 0x60a3df0
 OBJ: TBranch	Electron_dz	dz (with sign) wrt first PV, in cm : 0 at: 0x60a79f0
 OBJ: TBranch	Electron_dzErr	dz uncertainty, in cm : 0 at: 0x60ab600
 OBJ: TBranch	Electron_eCorr	ratio of the calibrated energy/miniaod energy : 0 at: 0x60af200
 OBJ: TBranch	Electron_eInvMinusPInv	1/E_SC - 1/p_trk : 0 at: 0x60b2e10
 OBJ: TBranch	Electron_energyErr	energy error of the cluster-track combination : 0 at: 0x60b6a80
 OBJ: TBranch	Electron_eta	eta : 0 at: 0x60ba6f0
 OBJ: TBranch	Electron_hoe	H over E : 0 at: 0x60be2c0
 OBJ: TBranch	Electron_ip3d	3D impact parameter wrt first PV, in cm : 0 at: 0x60c1e90
 OBJ: TBranch	Electron_jetPtRelv2	Relative momentum of the lepton with respect to the closest jet after subtracting the lepton : 0 at: 0x60c5aa0
 OBJ: TBranch	Electron_jetRelIso	Relative isolation in matched jet (1/ptRatio-1, pfRelIso04_all if no matched jet) : 0 at: 0x60c9740
 OBJ: TBranch	Electron_mass	mass : 0 at: 0x60cd3e0
 OBJ: TBranch	Electron_miniPFRelIso_all	mini PF relative isolation, total (with scaled rho*EA PU corrections) : 0 at: 0x60d0fb0
 OBJ: TBranch	Electron_miniPFRelIso_chg	mini PF relative isolation, charged component : 0 at: 0x60d4c50
 OBJ: TBranch	Electron_mvaFall17V1Iso	MVA Iso ID V1 score : 0 at: 0x60d88d0
 OBJ: TBranch	Electron_mvaFall17V1noIso	MVA noIso ID V1 score : 0 at: 0x60dc540
 OBJ: TBranch	Electron_mvaFall17V2Iso	MVA Iso ID V2 score : 0 at: 0x60e01b0
 OBJ: TBranch	Electron_mvaFall17V2noIso	MVA noIso ID V2 score : 0 at: 0x60e3e20
 OBJ: TBranch	Electron_pfRelIso03_all	PF relative isolation dR=0.3, total (with rho*EA PU corrections) : 0 at: 0x60e7a90
 OBJ: TBranch	Electron_pfRelIso03_chg	PF relative isolation dR=0.3, charged component : 0 at: 0x60eb730
 OBJ: TBranch	Electron_phi	phi : 0 at: 0x60ef3b0
 OBJ: TBranch	Electron_pt	p_{T} : 0 at: 0x60f2f80
 OBJ: TBranch	Electron_r9	R9 of the supercluster, calculated with full 5x5 region : 0 at: 0x60f6b50
 OBJ: TBranch	Electron_scEtOverPt	(supercluster transverse energy)/pt-1 : 0 at: 0x60fa770
 OBJ: TBranch	Electron_sieie	sigma_IetaIeta of the supercluster, calculated with full 5x5 region : 0 at: 0x60fe3e0
 OBJ: TBranch	Electron_sip3d	3D impact parameter significance wrt first PV, in cm : 0 at: 0x6102010
 OBJ: TBranch	Electron_mvaTTH	TTH MVA lepton ID score : 0 at: 0x6105c30
 OBJ: TBranch	Electron_charge	electric charge : 0 at: 0x6109830
 OBJ: TBranch	Electron_cutBased	cut-based ID Fall17 V2 (0:fail, 1:veto, 2:loose, 3:medium, 4:tight) : 0 at: 0x610d400
 OBJ: TBranch	Electron_cutBased_Fall17_V1	cut-based ID Fall17 V1 (0:fail, 1:veto, 2:loose, 3:medium, 4:tight) : 0 at: 0x6111090
 OBJ: TBranch	Electron_jetIdx	index of the associated jet (-1 if none) : 0 at: 0x6114d30
 OBJ: TBranch	Electron_pdgId	PDG code assigned by the event reconstruction (not by MC truth) : 0 at: 0x6118940
 OBJ: TBranch	Electron_photonIdx	index of the associated photon (-1 if none) : 0 at: 0x611c560
 OBJ: TBranch	Electron_tightCharge	Tight charge criteria (0:none, 1:isGsfScPixChargeConsistent, 2:isGsfCtfScPixChargeConsistent) : 0 at: 0x61201d0
 OBJ: TBranch	Electron_vidNestedWPBitmap	VID compressed bitmap (MinPtCut,GsfEleSCEtaMultiRangeCut,GsfEleDEtaInSeedCut,GsfEleDPhiInCut,GsfEleFull5x5SigmaIEtaIEtaCut,GsfEleHadronicOverEMEnergyScaledCut,GsfEleEInverseMinusPInverseCut,GsfEleRelPFIsoScaledCut,GsfEleConversionVetoCut,GsfEleMissingHitsCut), 3 bits per cut : 0 at: 0x6123e70
 OBJ: TBranch	Electron_vidNestedWPBitmapHEEP	VID compressed bitmap (MinPtCut,GsfEleSCEtaMultiRangeCut,GsfEleDEtaInSeedCut,GsfEleDPhiInCut,GsfEleFull5x5SigmaIEtaIEtaWithSatCut,GsfEleFull5x5E2x5OverE5x5WithSatCut,GsfEleHadronicOverEMLinearCut,GsfEleValueMapIsoRhoCut,GsfEleEmHadD1IsoRhoCut,GsfEleDxyCut,GsfEleMissingHitsCut,GsfEleEcalDrivenCut), 1 bits per cut : 0 at: 0x6127be0
 OBJ: TBranch	Electron_convVeto	pass conversion veto : 0 at: 0x612b970
 OBJ: TBranch	Electron_cutBased_HEEP	cut-based HEEP ID : 0 at: 0x6131520
 OBJ: TBranch	Electron_isPFcand	electron is PF candidate : 0 at: 0x6135160
 OBJ: TBranch	Electron_lostHits	number of missing inner hits : 0 at: 0x6138d90
 OBJ: TBranch	Electron_mvaFall17V1Iso_WP80	MVA Iso ID V1 WP80 : 0 at: 0x613e8e0
 OBJ: TBranch	Electron_mvaFall17V1Iso_WP90	MVA Iso ID V1 WP90 : 0 at: 0x6142520
 OBJ: TBranch	Electron_mvaFall17V1Iso_WPL	MVA Iso ID V1 loose WP : 0 at: 0x6146160
 OBJ: TBranch	Electron_mvaFall17V1noIso_WP80	MVA noIso ID V1 WP80 : 0 at: 0x6149da0
 OBJ: TBranch	Electron_mvaFall17V1noIso_WP90	MVA noIso ID V1 WP90 : 0 at: 0x614d9e0
 OBJ: TBranch	Electron_mvaFall17V1noIso_WPL	MVA noIso ID V1 loose WP : 0 at: 0x6151620
 OBJ: TBranch	Electron_mvaFall17V2Iso_WP80	MVA Iso ID V2 WP80 : 0 at: 0x6155260
 OBJ: TBranch	Electron_mvaFall17V2Iso_WP90	MVA Iso ID V2 WP90 : 0 at: 0x6158ea0
 OBJ: TBranch	Electron_mvaFall17V2Iso_WPL	MVA Iso ID V2 loose WP : 0 at: 0x615cae0
 OBJ: TBranch	Electron_mvaFall17V2noIso_WP80	MVA noIso ID V2 WP80 : 0 at: 0x6160720
 OBJ: TBranch	Electron_mvaFall17V2noIso_WP90	MVA noIso ID V2 WP90 : 0 at: 0x6164360
 OBJ: TBranch	Electron_mvaFall17V2noIso_WPL	MVA noIso ID V2 loose WP : 0 at: 0x6167fa0
 OBJ: TBranch	Electron_seedGain	Gain of the seed crystal : 0 at: 0x616bbe0
 OBJ: TBranch	Flag_ecalBadCalibFilterV2	Bad ECAL calib flag (updated xtal list) : 0 at: 0x616f810
 OBJ: TBranch	nFatJet	slimmedJetsAK8, i.e. ak8 fat jets for boosted analysis : 0 at: 0x61718c0
 OBJ: TBranch	FatJet_area	jet catchment area, for JECs : 0 at: 0x61738f0
 OBJ: TBranch	FatJet_btagCMVA	CMVA V2 btag discriminator : 0 at: 0x61774f0
 OBJ: TBranch	FatJet_btagCSVV2	 pfCombinedInclusiveSecondaryVertexV2 b-tag discriminator (aka CSVV2) : 0 at: 0x617b0f0
 OBJ: TBranch	FatJet_btagDDBvL	DeepDoubleX (mass-decorrelated) discriminator for H(Z)->bb vs QCD : 0 at: 0x617ed80
 OBJ: TBranch	FatJet_btagDDBvL_noMD	DeepDoubleX discriminator (no mass-decorrelation) for H(Z)->bb vs QCD : 0 at: 0x6182a10
 OBJ: TBranch	FatJet_btagDDCvB	DeepDoubleX (mass-decorrelated) discriminator for H(Z)->cc vs H(Z)->bb : 0 at: 0x61866a0
 OBJ: TBranch	FatJet_btagDDCvB_noMD	DeepDoubleX discriminator (no mass-decorrelation) for H(Z)->cc vs H(Z)->bb : 0 at: 0x618a330
 OBJ: TBranch	FatJet_btagDDCvL	DeepDoubleX (mass-decorrelated) discriminator for H(Z)->cc vs QCD : 0 at: 0x618dfc0
 OBJ: TBranch	FatJet_btagDDCvL_noMD	DeepDoubleX discriminator (no mass-decorrelation) for H(Z)->cc vs QCD : 0 at: 0x6191c50
 OBJ: TBranch	FatJet_btagDeepB	DeepCSV b+bb tag discriminator : 0 at: 0x61958e0
 OBJ: TBranch	FatJet_btagHbb	Higgs to BB tagger discriminator : 0 at: 0x6199540
 OBJ: TBranch	FatJet_deepTagMD_H4qvsQCD	Mass-decorrelated DeepBoostedJet tagger H->4q vs QCD discriminator : 0 at: 0x619d150
 OBJ: TBranch	FatJet_deepTagMD_HbbvsQCD	Mass-decorrelated DeepBoostedJet tagger H->bb vs QCD discriminator : 0 at: 0x61a0df0
 OBJ: TBranch	FatJet_deepTagMD_TvsQCD	Mass-decorrelated DeepBoostedJet tagger top vs QCD discriminator : 0 at: 0x61a4a90
 OBJ: TBranch	FatJet_deepTagMD_WvsQCD	Mass-decorrelated DeepBoostedJet tagger W vs QCD discriminator : 0 at: 0x61a8730
 OBJ: TBranch	FatJet_deepTagMD_ZHbbvsQCD	Mass-decorrelated DeepBoostedJet tagger Z/H->bb vs QCD discriminator : 0 at: 0x61ac3c0
 OBJ: TBranch	FatJet_deepTagMD_ZHccvsQCD	Mass-decorrelated DeepBoostedJet tagger Z/H->cc vs QCD discriminator : 0 at: 0x61b0060
 OBJ: TBranch	FatJet_deepTagMD_ZbbvsQCD	Mass-decorrelated DeepBoostedJet tagger Z->bb vs QCD discriminator : 0 at: 0x61b3d00
 OBJ: TBranch	FatJet_deepTagMD_ZvsQCD	Mass-decorrelated DeepBoostedJet tagger Z vs QCD discriminator : 0 at: 0x61b79a0
 OBJ: TBranch	FatJet_deepTagMD_bbvsLight	Mass-decorrelated DeepBoostedJet tagger Z/H/gluon->bb vs light flavour discriminator : 0 at: 0x61bb630
 OBJ: TBranch	FatJet_deepTagMD_ccvsLight	Mass-decorrelated DeepBoostedJet tagger Z/H/gluon->cc vs light flavour discriminator : 0 at: 0x61bf2e0
